id,account_xmlid_ids/id
l10n_es_aeat_mod322.aeat_mod322_2023_map_line_42,"l10n_es_aeat_mod303.common_472"
l10n_es_aeat_mod322.aeat_mod322_2023_map_line_48,"l10n_es_aeat_mod303.common_472"
l10n_es_aeat_mod322.aeat_mod322_2023_map_line_50,"l10n_es_aeat_mod303.common_472"
l10n_es_aeat_mod322.aeat_mod322_2023_map_line_61,"l10n_es_aeat_mod303.common_472"
